FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
12609,31195,0,-122.465123403000007,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.045607206301500,-150.996769999000009,CTB,263.9490051
12610,31196,0,-122.442665520999995,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.065248698747900,-150.996769999000009,CTB,267.0610046
12611,31197,0,-122.420207638999997,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.084890191194200,-150.996769999000009,CTB,267.6799927
12612,31198,0,-122.397749757000000,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.104531683641000,-150.996769999000009,CTB,269.3150024
12613,31199,0,-122.375291875000002,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.124173176087000,-150.996769999000009,CTB,271.8080139
12614,31200,0,-122.352833993000004,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.143814668533000,-150.996769999000009,CTB,271.5960083
12615,31201,0,-122.330376111000007,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.163456160980000,-150.996769999000009,CTB,270.9410095
12616,31202,0,-122.307918228999995,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.183094185426000,-150.091935218999993,CTB,272.7680054
12617,31203,0,-122.285460345999994,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.202561274445000,-150.091935218999993,CTB,272.3439941
12618,31204,0,-122.263002463999996,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.222028363464000,-150.091935218999993,CTB,270.9620056
12619,31205,0,-122.240544581999998,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.241495452482000,-150.091935218999993,CTB,270.2239990
12620,31206,0,-122.218086700000001,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.260962541501000,-150.091935218999993,CTB,271.2940063
12621,31207,0,-122.195628818000003,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.280429630520000,-150.091935218999993,CTB,277.3919983
12622,31208,0,-122.173170936000005,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.299896719539000,-150.091935218999993,CTB,277.8160095
12623,31209,0,-122.150713053999993,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.319363808558000,-150.091935218999993,CTB,274.4819946
12624,31210,0,-122.128255171999996,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.338830897576000,-150.091935218999993,CTB,272.9400024
12625,31211,0,-122.105797289999998,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.358297986595000,-150.091935218999993,CTB,276.6629944
12626,31212,0,-122.083339408000001,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.377765075614000,-150.091935218999993,CTB,282.0499878
12627,31213,0,-122.060881524999999,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.397232164633000,-150.091935218999993,CTB,274.6640015
12628,31214,0,-122.038423643000002,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.416699253651000,-150.091935218999993,CTB,269.0469971
12629,31215,0,-122.015965761000004,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.436166342670000,-150.091935218999993,CTB,267.4309998
12630,31216,0,-121.993507879000006,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.455643940303000,-150.481068515999993,CTB,264.2560120
12631,31217,0,-121.971049996999994,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.475315446666000,-151.815023258999986,CTB,261.9209900
12632,31218,0,-121.948592114999997,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.495224050587000,-153.042346460000005,CTB,260.9509888
12633,31219,0,-121.926134232999999,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.515342274278000,-154.174330080000004,CTB,258.6300049
12634,31220,0,-121.903676351000001,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.535646499077000,-155.220878908999993,CTB,255.7460022
12635,31221,0,-121.881218469000004,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.556116352237000,-156.190687860999986,CTB,252.9790039
12636,31222,0,-121.858760587000006,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.576708384757000,-156.549305686999986,CTB,250.2070007
12637,31223,0,-121.836302704000005,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.597311310408000,-156.549305686999986,CTB,250.2059937
12638,31224,0,-121.813844821999993,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.617914236059000,-156.549305686999986,CTB,250.2559967
12639,31225,0,-121.791386939999995,57.320558620600004,0,Montney Basin,26607264166.200000762939453,4,0,0.638517161710000,-156.549305686999986,CTB,248.1880035
