FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID
171,2101,0,-120.264250957000002,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
172,2102,0,-120.241793075000004,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
173,2103,0,-120.219335193000006,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
174,2104,0,-120.196877310999994,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
175,2105,0,-120.174419428999997,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
176,2106,0,-120.151961546999999,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
177,2107,0,-120.129503665000001,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
178,2108,0,-120.107045782000000,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
179,2109,0,-120.084587900000002,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
180,2110,0,-120.062130018000005,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
181,2111,0,-120.039672135999993,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
182,2112,0,-120.017214253999995,55.098067280899997,0,Montney Basin,26607264166.200000762939453,4
183,2251,0,-120.578661307000004,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
184,2252,0,-120.556203425000007,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
185,2253,0,-120.533745542000005,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
186,2254,0,-120.511287659999994,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
187,2255,0,-120.488829777999996,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
188,2256,0,-120.466371895999998,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
189,2257,0,-120.443914014000001,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
190,2258,0,-120.421456132000003,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
191,2259,0,-120.398998250000005,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
192,2260,0,-120.376540367999993,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
193,2261,0,-120.354082485999996,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
194,2262,0,-120.331624603999998,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
195,2263,0,-120.309166720999997,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
196,2264,0,-120.286708838999999,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
197,2265,0,-120.264250957000002,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
198,2266,0,-120.241793075000004,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
199,2267,0,-120.219335193000006,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
200,2268,0,-120.196877310999994,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
201,2269,0,-120.174419428999997,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
202,2270,0,-120.151961546999999,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
203,2271,0,-120.129503665000001,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
204,2272,0,-120.107045782000000,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
205,2273,0,-120.084587900000002,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
206,2274,0,-120.062130018000005,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
207,2275,0,-120.039672135999993,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
208,2276,0,-120.017214253999995,55.110915021600000,0,Montney Basin,26607264166.200000762939453,4
209,2414,0,-120.601119189000002,55.123758632099999,0,Montney Basin,26607264166.200000762939453,4
