FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
109,1618,0,-120.062130018000005,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.249829608539000,-133.327795705999989,Faults - BCOGC Pool boundary faults,1.4521400
110,1619,0,-120.039672135999993,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.265742197974000,-136.852332087000008,Faults - BCOGC Pool boundary faults,1.4414400
111,1620,0,-120.017214253999995,55.059499271999996,0,Montney Basin,26607264166.200000762939453,4,151,0.282545060481000,-139.968338600999999,Faults - BCOGC Pool boundary faults,1.4336300
112,1763,0,-120.488829777999996,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,155,0.244158266015000,-114.406573245000004,Faults - BCOGC Pool boundary faults,1.1242400
113,1764,0,-120.466371895999998,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,155,0.253440699253000,-114.667911211000003,Faults - BCOGC Pool boundary faults,1.1287000
114,1765,0,-120.443914014000001,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,81,0.255266978175000,-75.309244271799997,Faults - BCOGC Pool boundary faults,1.1339500
115,1766,0,-120.421456132000003,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.242727088273000,-48.208867248600001,Faults - BCOGC Pool boundary faults,1.1546100
116,1767,0,-120.398998250000005,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.228375425611000,-52.413476867900002,Faults - BCOGC Pool boundary faults,1.1719800
117,1768,0,-120.376540367999993,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.215413424841000,-57.152366129299999,Faults - BCOGC Pool boundary faults,1.2061700
118,1769,0,-120.354082485999996,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.204106014408000,-62.456265843499999,Faults - BCOGC Pool boundary faults,1.2315201
119,1770,0,-120.331624603999998,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.194741622593000,-68.325055335499997,Faults - BCOGC Pool boundary faults,1.2638800
120,1771,0,-120.309166720999997,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.187611425452000,-74.711882209699993,Faults - BCOGC Pool boundary faults,1.2864400
121,1772,0,-120.286708838999999,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.182976794396000,-81.511241014899994,Faults - BCOGC Pool boundary faults,1.2976800
122,1773,0,-120.264250957000002,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.181029501881000,-88.559044961900000,Faults - BCOGC Pool boundary faults,1.3266400
123,1774,0,-120.241793075000004,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.181855895568000,-95.650511702700001,Faults - BCOGC Pool boundary faults,1.3412100
124,1775,0,-120.219335193000006,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.185418893026000,-102.573271461999994,Faults - BCOGC Pool boundary faults,1.3583400
125,1776,0,-120.196877310999994,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.191565858040000,-109.143546842000006,Faults - BCOGC Pool boundary faults,1.3782099
126,1777,0,-120.174419428999997,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.200058748819000,-115.231133877999994,Faults - BCOGC Pool boundary faults,1.4006100
127,1778,0,-120.151961546999999,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.210062558465000,-116.545099879000006,Faults - BCOGC Pool boundary faults,1.4289700
128,1779,0,-120.129503665000001,55.072359406799997,0,Montney Basin,26607264166.200000762939453,4,151,0.220668408588000,-118.133803740000005,Faults - BCOGC Pool boundary faults,1.4490600
