X,Y,Montney-TVD
56.03891711,-120.8998294,1918
56.03568301,-120.8691468,1903.9
56.03851272,-120.8996732,1918.5
56.03563954,-120.8689196,1903
56.03899123,-120.899485,1917
56.05023628,-120.880117,2027
56.03365816,-120.8218147,2030.6
56.03360438,-120.821874,2035.7
56.05060503,-120.8794014,2021.9
56.05042078,-120.8797664,2022.5
56.03371104,-120.8217556,2031.2
56.02627148,-120.803625,2068.4
56.03572563,-120.8693772,1904.5
56.0205307,-120.8135069,2098
56.02609936,-120.8039526,2068.4
56.02618542,-120.8037888,2069
56.03556821,-120.8685367,1903.7
56.02047693,-120.8135661,2101.6
56.02635754,-120.8034612,2068.1
56.05697025,-120.8239472,1807
56.05088203,-120.87889,2025
56.03585429,-120.870062,1887.6
56.05078978,-120.8790653,2026
56.05864553,-120.9377543,2069
56.05875459,-120.937612,2069.8
56.05886275,-120.9374696,2069.3
56.05051303,-120.8795911,2022.8
56.05032853,-120.8799417,2022
56.05069753,-120.8792406,2026.5
56.03869608,-120.9000437,1919.1
56.03829167,-120.8998859,1918.8
56.0597285,-120.9642736,2040.6
56.03880659,-120.8999366,1915.7
56.03875426,-120.899713,1919
56.03834649,-120.8998331,1917.9
56.05954297,-120.964195,2036.1
56.05948562,-120.9642591,2037.9
56.05942823,-120.9643215,2038.5
56.03840221,-120.8997803,1920.1
56.05960036,-120.9641326,2041.2
56.07159991,-120.992336,1824.7
56.07165961,-120.9921385,1816.4
56.07162977,-120.992238,1818.9
56.05820589,-120.9383351,2070.1
56.05850044,-120.9379452,2068.8
