FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC
1055,1034,1035.000000000000000,55.687719000000001,-120.180402999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.805881821145000,-123.470980783000002,CTB
1056,1105,1106.000000000000000,55.687969000000002,-120.190281999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.800641950049000,-123.470980783000002,CTB
1057,1102,1103.000000000000000,55.688558999999998,-120.113847000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.843289123506000,-123.470980783000002,CTB
1058,4789,4790.000000000000000,55.689996999999998,-120.112634000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.845157640321000,-123.470980783000002,CTB
1059,943,944.000000000000000,55.690083000000001,-120.278570000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.753713257292000,-123.470980783000002,CTB
1060,1707,1708.000000000000000,55.690947000000001,-120.280353000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.753450625603000,-123.470980783000002,CTB
1061,1365,1366.000000000000000,55.691603000000001,-120.555875000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.602031264281000,-123.474326880999996,CTB
1062,1708,1709.000000000000000,55.691732000000002,-120.279408000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.754626626599000,-123.470980783000002,CTB
1063,1709,1710.000000000000000,55.692616000000001,-120.745006000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.493125810614000,-128.241186411000001,CTB
1064,1583,1584.000000000000000,55.693379000000000,-120.258125000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.767738381319000,-123.470980783000002,CTB
1065,5048,5049.000000000000000,55.693390000000001,-120.276985999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.757345440883000,-123.470980783000002,CTB
1066,1576,1577.000000000000000,55.693607000000000,-120.313309000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.737493365969000,-123.474326880999996,CTB
1067,1361,1362.000000000000000,55.693902999999999,-120.118173999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.845360499126000,-123.470980783000002,CTB
1068,232,233.000000000000000,55.694460999999997,-120.003930999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.906081750891000,-119.274028281000000,CTB
1069,124,125.000000000000000,55.694550999999997,-120.279055999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.757172271597000,-123.470980783000002,CTB
1070,4467,4468.000000000000000,55.694836000000002,-120.552646999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.606508462707000,-123.474326880999996,CTB
1071,117,118.000000000000000,55.694879999999998,-120.250474999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.773209549816000,-123.470980783000002,CTB
1072,216,217.000000000000000,55.695526999999998,-120.569249999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.597927243475000,-123.474326880999996,CTB
1073,4528,4529.000000000000000,55.695667999999998,-120.558833000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.603790490943000,-123.474326880999996,CTB
1074,447,448.000000000000000,55.695864999999998,-120.117957000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.847116810028000,-123.470980783000002,CTB
1075,439,440.000000000000000,55.695906000000001,-120.556293999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.605389433782000,-123.474326880999996,CTB
1076,306,307.000000000000000,55.696558000000003,-120.550676999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.609031419486000,-123.474326880999996,CTB
1077,4440,4441.000000000000000,55.696570999999999,-120.309706000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.741953018836000,-123.474326880999996,CTB
1078,118,119.000000000000000,55.696703999999997,-120.561443999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.603214521054000,-123.474326880999996,CTB
1079,438,439.000000000000000,55.697350000000000,-120.245258000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.778147189507000,-123.470980783000002,CTB
1080,4433,4434.000000000000000,55.697361999999998,-120.517611000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.627940053940000,-123.474326880999996,CTB
1081,4529,4530.000000000000000,55.697695000000003,-120.118198000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.848510417444000,-123.470980783000002,CTB
1082,212,213.000000000000000,55.697780000000002,-120.517178999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.628526996893000,-123.474326880999996,CTB
1083,724,725.000000000000000,55.697882999999997,-120.518782000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.627728756656000,-123.474326880999996,CTB
1084,4637,4638.000000000000000,55.698647000000001,-120.518727999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.628395818724000,-123.474326880999996,CTB
1085,590,591.000000000000000,55.698815000000003,-121.078227999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.283391238628000,-130.634409941999991,CTB
1086,583,584.000000000000000,55.698895000000000,-120.094677000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.862483589895000,-123.470980783000002,CTB
1087,4639,4640.000000000000000,55.699288000000003,-120.546826999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.613432121349000,-123.474326880999996,CTB
1088,727,728.000000000000000,55.699297000000001,-120.546809999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.613449005123000,-123.474326880999996,CTB
1089,845,846.000000000000000,55.699733000000002,-120.149478000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.832959070580000,-123.470980783000002,CTB
