FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
2103,6399,6400.000000000000000,55.919055999999998,-120.589913999999993,0,Montney Basin,26607264166.200000762939453,4,3,0.023242207016000,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.4011993
2104,5774,5775.000000000000000,55.919060999999999,-120.374437999999998,0,Montney Basin,26607264166.200000762939453,4,9,0.090275155985000,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2105,532,533.000000000000000,55.919176999999998,-120.687419000000006,0,Montney Basin,26607264166.200000762939453,4,3,0.079674130539700,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7914009
2106,525,526.000000000000000,55.919206000000003,-120.583003000000005,0,Montney Basin,26607264166.200000762939453,4,3,0.018938155664700,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.4011993
2107,701,702.000000000000000,55.919530000000002,-120.568042000000005,0,Montney Basin,26607264166.200000762939453,4,3,0.009620148779270,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2108,4654,4655.000000000000000,55.919556999999998,-120.323654000000005,0,Montney Basin,26607264166.200000762939453,4,9,0.076343634225900,71.777122080900000,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.0232010
2109,905,906.000000000000000,55.919846000000000,-120.612875000000003,0,Montney Basin,26607264166.200000762939453,4,3,0.038532431551900,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.5042000
2110,5843,5844.000000000000000,55.919854999999998,-120.375563000000000,0,Montney Basin,26607264166.200000762939453,4,9,0.089708698073800,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2111,5840,5841.000000000000000,55.919893000000002,-120.588791000000001,0,Montney Basin,26607264166.200000762939453,4,3,0.023167582122000,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.4011993
2112,1076,1077.000000000000000,55.919938000000002,-121.071265999999994,0,Montney Basin,26607264166.200000762939453,4,11,0.038230607562800,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2113,1082,1083.000000000000000,55.919938000000002,-120.212003999999993,0,Montney Basin,26607264166.200000762939453,4,10,0.018586414605700,24.630953978200001,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",38.1353989
2114,4762,4763.000000000000000,55.919941000000001,-120.565320999999997,0,Montney Basin,26607264166.200000762939453,4,3,0.008196135790890,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.2848015
2115,917,918.000000000000000,55.919967000000000,-120.689667000000000,0,Montney Basin,26607264166.200000762939453,4,3,0.081575087476600,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7914009
2116,6276,6277.000000000000000,55.919978999999998,-120.322040000000001,0,Montney Basin,26607264166.200000762939453,4,9,0.075438077942000,71.777122080900000,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.0232010
2117,6503,6504.000000000000000,55.919995999999998,-121.068824000000006,0,Montney Basin,26607264166.200000762939453,4,11,0.040029374196800,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2118,6516,6517.000000000000000,55.920046999999997,-120.568138000000005,0,Montney Basin,26607264166.200000762939453,4,3,0.010079015959200,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.2848015
2119,1176,1177.000000000000000,55.920064000000004,-120.374317000000005,0,Montney Basin,26607264166.200000762939453,4,9,0.089267398298600,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2120,1009,1010.000000000000000,55.920166000000002,-120.566709000000003,0,Montney Basin,26607264166.200000762939453,4,3,0.009256703180010,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.2848015
2121,4710,4711.000000000000000,55.920315000000002,-120.792961000000005,0,Montney Basin,26607264166.200000762939453,4,4,0.068250058003200,-168.781870349000002,"Structural Low - Davies 1997, 2018",41.9248009
2122,5879,5880.000000000000000,55.920470999999999,-120.450869999999995,0,Montney Basin,26607264166.200000762939453,4,3,0.077068429609600,162.821425049999988,"Structural Low - Davies 1997, 2018",40.2925987
2123,5839,5840.000000000000000,55.920485999999997,-120.323665000000005,0,Montney Basin,26607264166.200000762939453,4,9,0.075464665975900,71.777122080900000,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.0232010
2124,5878,5879.000000000000000,55.920485999999997,-120.322830999999994,0,Montney Basin,26607264166.200000762939453,4,9,0.075203862322400,71.777122080900000,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.0232010
2125,4782,4783.000000000000000,55.920648000000000,-121.070464000000001,0,Montney Basin,26607264166.200000762939453,4,11,0.039300776712300,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2126,6471,6472.000000000000000,55.920651999999997,-121.068139000000002,0,Montney Basin,26607264166.200000762939453,4,11,0.040977821678800,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2127,4716,4717.000000000000000,55.920741999999997,-120.375544000000005,0,Montney Basin,26607264166.200000762939453,4,9,0.088834165550500,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2128,6267,6268.000000000000000,55.920810000000003,-120.566030999999995,0,Montney Basin,26607264166.200000762939453,4,3,0.009318260644820,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2129,6501,6502.000000000000000,55.920862000000000,-120.567023000000006,0,Montney Basin,26607264166.200000762939453,4,3,0.009992592859410,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.2848015
2130,907,908.000000000000000,55.920997000000000,-120.589900999999998,0,Montney Basin,26607264166.200000762939453,4,3,0.024726166648500,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.4011993
2131,4818,4819.000000000000000,55.921039999999998,-120.374341000000001,0,Montney Basin,26607264166.200000762939453,4,9,0.088313625379200,79.077860053999999,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.3786011
2132,4717,4718.000000000000000,55.921121999999997,-120.688837000000007,0,Montney Basin,26607264166.200000762939453,4,3,0.082078792483100,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7914009
2133,5844,5845.000000000000000,55.921152999999997,-120.688857999999996,0,Montney Basin,26607264166.200000762939453,4,3,0.082116234001900,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7914009
2134,5870,5871.000000000000000,55.921214999999997,-120.810332000000002,0,Montney Basin,26607264166.200000762939453,4,4,0.051386044738700,-168.781870349000002,"Structural Low - Davies 1997, 2018",41.9944992
2135,1177,1178.000000000000000,55.921253000000000,-120.688160999999994,0,Montney Basin,26607264166.200000762939453,4,3,0.081814288369600,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7914009
2136,5863,5864.000000000000000,55.921326000000001,-120.564846000000003,0,Montney Basin,26607264166.200000762939453,4,3,0.008957198559350,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2137,6408,6409.000000000000000,55.921557000000000,-121.067169000000007,0,Montney Basin,26607264166.200000762939453,4,11,0.042304271788500,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2138,6468,6469.000000000000000,55.921601000000003,-120.565979999999996,0,Montney Basin,26607264166.200000762939453,4,3,0.009893781514230,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2139,1073,1074.000000000000000,55.921878000000000,-120.812127000000004,0,Montney Basin,26607264166.200000762939453,4,4,0.049754323804700,-168.781870349000002,"Structural Low - Davies 1997, 2018",42.0942001
2140,5871,5872.000000000000000,55.921881999999997,-121.069137999999995,0,Montney Basin,26607264166.200000762939453,4,11,0.041111865981900,-136.064053166000008,"Faults - Berger 2009, from Enlighten Geosci",46.9325981
2141,6404,6405.000000000000000,55.922006000000003,-120.565425000000005,0,Montney Basin,26607264166.200000762939453,4,3,0.009850246597010,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2142,4714,4715.000000000000000,55.922033999999996,-120.563004000000006,0,Montney Basin,26607264166.200000762939453,4,3,0.008323617761470,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2143,4819,4820.000000000000000,55.922113000000003,-120.686920999999998,0,Montney Basin,26607264166.200000762939453,4,3,0.081845524655900,-56.442895677400003,"Structural Low - Davies 1997, 2018",41.7621002
2144,902,903.000000000000000,55.922116000000003,-120.795293000000001,0,Montney Basin,26607264166.200000762939453,4,4,0.066312989092300,-168.781870349000002,"Structural Low - Davies 1997, 2018",41.9944992
2145,6260,6261.000000000000000,55.922173999999998,-120.563165999999995,0,Montney Basin,26607264166.200000762939453,4,3,0.008534846126440,-50.247726053100003,"Structural Low - Davies 1997, 2018",41.2848015
2146,6466,6467.000000000000000,55.922184999999999,-120.564169000000007,0,Montney Basin,26607264166.200000762939453,4,3,0.009184691031110,-50.247726053199997,"Structural Low - Davies 1997, 2018",41.2848015
2147,4812,4813.000000000000000,55.922254000000002,-120.322862000000001,0,Montney Basin,26607264166.200000762939453,4,9,0.073534226503800,71.777122080900000,"Faults - Davies 2018 after Berger 2009, from Enlighten Geosci",40.0232010
